Year Type	Year	Organization Group Code	Organization_Group	Department Code	Department	Union Code	Union	Job Family Code	Job_Family	Job Code	Job	Employee Identifier	Salaries	Overtime	Other Salaries	Total Salary	Retirement	Health and Dental	Other Benefits	Total Benefits	Total
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	8567366	36335.25	0	1142	37477.25	0	0	2908.83	2908.83	40386.08
Calendar	2019	4	Community Health	DPH		790	"SEIU, Local 1021, Misc"	9900	Public Service Aide	9910	Public Service Trainee	9090179	28200	0	0	28200	449.6	0	2283.15	2732.75	30932.75
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	8602610	10694.33	0	798.41	11492.74	0	0	594.61	594.61	12087.35
Calendar	2019	4	Community Health	DPH		21	"Prof & Tech Eng, Local 21"	2500	Med Therapy & Auxiliary	2593	Health Program Coordinator 3	8564901	87652.11	0	0	87652.11	16756.3	8799.84	7086.81	47034.49	134686.6
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	8507871	13720.49	0	686.64	14407.13	0	0	685.03	685.03	15092.16
Calendar	2019	2	"Public Works, Transportation & Commerce"	PUC		21	"Prof & Tech Eng, Local 21"	5200	Professional Engineering	5203	Assistant Engineer	8492917	47221.64	0	0	47221.64	2731.98	8785.12	3834.72	22031.18	69252.82
Calendar	2019	6	General Administration & Finance	ADM		21	"Prof & Tech Eng, Local 21"	1800	"Budget, Admn & Stats Analysis"	1823	Senior Administrative Analyst	8555395	81557.76	0	0	81557.76	16828.93	8785.12	7074.26	47108.97	128666.73
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	8670066	41526	915.81	406.63	42848.44	0	0	5860.76	5860.76	48709.2
Calendar	2019	4	Community Health	DPH		250	"SEIU, Local 1021, Misc"	2700	Housekeeping & Laundry	2736	Porter	8525556	8446.2	318.24	445.94	9210.38	1998.95	5477.2	742.34	7798.03	17008.41
Calendar	2019	5	Culture & Recreation	LIB		216	"Teamsters, Local 853"	7300	Journeyman Trade	7355	Truck Driver	8571742	0	19.98	0	19.98	3.17	0	1.6	4.77	24.75
Calendar	2019	3	Human Welfare & Neighborhood Development	HSA		535	"SEIU, Local 1021, Misc"	2900	Human Services	2917	Program Support Analyst	8527466	86174.03	0	0	86174.03	16473.78	8785.14	6892.53	46557.71	132731.74
Calendar	2019	1	Public Protection	FIR		799	"Firefighters,Local 798, Unit 2"	H000	Fire Services	H120	Pilot of Fire Boats	8584564	6106.95	272.27	412.21	6791.43	1182.58	0	115.94	1298.52	8089.95
Calendar	2019	2	"Public Works, Transportation & Commerce"	MTA		253	"TWU, Local 250-A, TransitOpr"	9100	Street Transit	9163	Transit Operator	8499320	59319.87	3806.16	2896.23	66022.26	12132.75	9375.8	5187.56	41889.01	107911.27
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	8602601	7420.84	0	371.2	7792.04	0	0	537.51	537.51	8329.55
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	8602433	671	0	0	671	0	0	58.49	58.49	729.49
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	8586143	17511.46	0	3068.26	20579.72	0	0	1421.39	1421.39	22001.11
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	2320	Registered Nurse	8559197	0	0	7532.64	7532.64	0	0	576.24	576.24	8108.88
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	8551429	103676.56	21332.96	17825.21	142834.73	0	0	7570.07	7570.07	150404.8
Calendar	2019	1	Public Protection	SHF		498	Deputy Sheriffs' Assoc (DSA)	8300	Correction & Detention	8504	Deputy Sheriff (SFERS)	8501382	24745.01	1095.57	67.61	25908.19	4741.7	8785.16	216.96	13075.64	38983.83
Calendar	2019	5	Culture & Recreation	REC		790	"SEIU, Local 1021, Misc"	3200	Recreation	3279	Recreation Leader	8598674	2430.01	0	65.61	2495.62	0	0	193.69	193.69	2689.31
Calendar	2019	6	General Administration & Finance	TIS		16	"Theatrical Stage Emp, Local 16"	1700	Computer Operatns & Repro Svcs	1767	Media Programming Spec	8495022	54968.93	0	945.78	55914.71	10688.94	0	4558.78	15247.72	71162.43
Calendar	2019	4	Community Health	DPH		164	"Physician/Dentists 8-CC, UAPD"	2200	Medical & Dental	2230	Physician Specialist	8518011	1183.25	0	0	1183.25	220.32	0	91.14	311.46	1494.71
Calendar	2019	2	"Public Works, Transportation & Commerce"	MTA		21	"Prof & Tech Eng, Local 21"	5200	Professional Engineering	5203	Assistant Engineer	8506064	42950.88	0	0	42950.88	8888.73	2510.06	3715.98	26316.61	69267.49
Calendar	2019	1	Public Protection	POL		911	POA	Q000	Police Services	Q002	Police Officer	8513681	63104.63	3710.82	492.77	67308.22	11803.29	8785.12	4390.88	39385.55	106693.77
Calendar	2019	6	General Administration & Finance	HRD		790	"SEIU, Local 1021, Misc"	1200	Personnel	1227	Testing Technician	8591783	8857.58	0	0	8857.58	0	0	698.22	698.22	9555.8
Calendar	2019	3	Human Welfare & Neighborhood Development	HSA		351	"Municipal Exec Assoc, Misc"	900	Management	931	Manager III	8524758	106560	0	0	106560	19841.4	8785.14	13121.83	53835.51	160395.51
Calendar	2019	2	"Public Works, Transportation & Commerce"	PUC		790	"SEIU, Local 1021, Misc"	9900	Public Service Aide	9914	Public Service Aide-Admin	8524639	0	0	20.35	20.35	0	0	1.56	1.56	21.91
Calendar	2019	2	"Public Works, Transportation & Commerce"	MTA		254	"TWU, Local 250-A, TranFare"	9100	Street Transit	9132	Transit Fare Inspector	8606212	55880.64	2110.53	6370.72	64361.89	11809.37	7234.5	5107.58	38372.39	102734.28
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	8567315	20100.9	0	3268.41	23369.31	0	0	1737.84	1737.84	25107.15
Calendar	2019	1	Public Protection	POL		911	POA	Q000	Police Services	Q052	Sergeant 3	8507235	115814.05	10538.16	835.43	127187.64	20800.58	8593.16	2080.95	45685.53	172873.17
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	8495877	17849.96	0	2976.58	20826.54	0	0	1084.66	1084.66	21911.2
Calendar	2019	2	"Public Works, Transportation & Commerce"	AIR		261	"Laborers, Local 261"	7500	Semi-Skilled & General Labor	7514	General Laborer	8551413	50766.28	1248.3	5893.54	57908.12	10831.25	8534.1	4685.72	36886.29	94794.41
Calendar	2019	2	"Public Works, Transportation & Commerce"	DPW		261	"Laborers, Local 261"	3400	Agriculture & Horticulture	3417	Gardener	8552298	30980.6	0	490	31470.6	5909.45	7648.06	2427.81	20911.18	52381.78
Calendar	2019	2	"Public Works, Transportation & Commerce"	PUC		21	"Prof & Tech Eng, Local 21"	5200	Professional Engineering	5207	Assoc Engineer	8534744	51558.7	0	0	51558.7	10341.59	0	4486.58	14828.17	66386.87
Calendar	2019	4	Community Health	DPH		21	"Prof & Tech Eng, Local 21"	2500	Med Therapy & Auxiliary	2548	Occupational Therapist	8559623	96639.03	0	0	96639.03	18001.19	8799.88	7642.56	48849.49	145488.52
Calendar	2019	5	Culture & Recreation	LIB		790	"SEIU, Local 1021, Misc"	1800	"Budget, Admn & Stats Analysis"	1840	Junior Management Assistant	8569800	0	0.15	0	0.15	0.03	0	0.01	0.04	0.19
Calendar	2019	1	Public Protection	POL		790	"SEIU, Local 1021, Misc"	9200	Airport Operation	9209	Community Police Services Aide	8586276	57858.66	0	3482.59	61341.25	11789.47	8785.1	5002.65	39840.08	101181.33
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	8602566	11103.88	0	664.85	11768.73	0	0	795.12	795.12	12563.85
Calendar	2019	1	Public Protection	POL		911	POA	Q000	Police Services	Q004	Police Officer 3	8500750	98456.14	21624.9	2413.81	122494.85	17935.37	8194.42	2043.62	42306.57	164801.42
Calendar	2019	5	Culture & Recreation	FAM		790	"SEIU, Local 1021, Misc"	3300	Park & Zoo	3302	Admission Attendant	9950160	1570.15	0	0	1570.15	0	0	121.86	121.86	1692.01
Calendar	2019	2	"Public Works, Transportation & Commerce"	MTA		253	"TWU, Local 250-A, TransitOpr"	9100	Street Transit	9163	Transit Operator	8533031	21667.08	392.61	858.98	22918.67	4467.34	4561.62	1063.39	14518.51	37437.18
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	8507862	35638.25	966.84	3735.06	40340.15	0	0	2938.79	2938.79	43278.94
Calendar	2019	2	"Public Works, Transportation & Commerce"	MTA		6	"Electrical Workers, Local 6"	7300	Journeyman Trade	7318	Electronic Maintenance Tech	8580559	93544	8830.86	4738.34	107113.2	18307.53	8785.14	7903.29	49402.26	156515.46
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	8508260	10726.48	0	1630.26	12356.74	0	0	754.84	754.84	13111.58
Calendar	2019	1	Public Protection	POL		21	"Prof & Tech Eng, Local 21"	1800	"Budget, Admn & Stats Analysis"	1824	Pr Administrative Analyst	8533488	101497.68	0	0	101497.68	18906.32	8785.12	7645.32	49656.98	151154.66
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	9820162	731.56	0	146.31	877.87	0	0	67.09	67.09	944.96
Calendar	2019	1	Public Protection	PDR		311	Municipal Attorneys Assoc	8100	Legal & Court	8177	Attorney (Civil/Criminal)	8549109	100134	0	1125	101259	18885.14	8785.14	8029.99	50106.53	151365.53
Calendar	2019	1	Public Protection	DAT		311	Municipal Attorneys Assoc	8100	Legal & Court	8177	Attorney (Civil/Criminal)	8513742	13569.73	0	144.38	13714.11	0	0	1064.44	1064.44	14778.55
Calendar	2019	2	"Public Works, Transportation & Commerce"	MTA		253	"TWU, Local 250-A, TransitOpr"	9100	Street Transit	9163	Transit Operator	8602072	61311.7	26990.8	2402.78	90705.28	12087.97	9036.16	7045.34	43802.51	134507.79
Calendar	2019	6	General Administration & Finance	ADM		790	"SEIU, Local 1021, Misc"	1400	"Clerical, Secretarial & Steno"	1404	Clerk	8495907	25868.2	965.41	249.18	27082.79	2987.62	0	2142.92	5130.54	32213.33
Calendar	2019	5	Culture & Recreation	REC		261	"Laborers, Local 261"	3400	Agriculture & Horticulture	3417	Gardener	8601750	31966	0	70	32036	6221.05	8799.88	2634.05	22552.32	54588.32
Calendar	2019	1	Public Protection	FIR		798	"Firefighters,Local 798, Unit 1"	H000	Fire Services	H008	EMT Paramedic	8547898	16412.67	676.75	101.48	17190.9	0	0	1334.29	1334.29	18525.19
Calendar	2019	2	"Public Works, Transportation & Commerce"	AIR		21	"Prof & Tech Eng, Local 21"	1000	Information Systems	1044	IS Engineer-Principal	8592350	123620.03	0	11854.74	135474.77	23038.62	8799.88	8186.09	54430.45	189905.22
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	8508251	10274.79	0	43.25	10318.04	0	0	867.99	867.99	11186.03
Calendar	2019	2	"Public Works, Transportation & Commerce"	MTA		790	"SEIU, Local 1021, Misc"	9100	Street Transit	9110	Fare Collections Receiver	8565585	54181	12209.76	480	66870.76	10449.43	8785.14	5244.2	38885.03	105755.79
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	8567364	18237.3	0	569.9	18807.2	0	0	1459.74	1459.74	20266.94
Calendar	2019	6	General Administration & Finance	TIS		351	"Municipal Exec Assoc, Misc"	900	Management	1071	IS Manager	8557027	132444	0	0	132444	24661.08	8785.12	12741.21	58274.59	190718.59
Calendar	2019	1	Public Protection	POL		911	POA	Q000	Police Services	Q004	Police Officer 3	8560938	0	360.38	0	360.38	0	0	6.17	6.17	366.55
Calendar	2019	4	Community Health	DPH		250	"SEIU, Local 1021, Misc"	2200	Medical & Dental	2202	Dental Aide	8586392	55513.2	0	1000	56513.2	10765.19	8785.12	4373.57	38330.18	94843.38
Calendar	2019	1	Public Protection	POL		911	POA	Q000	Police Services	Q004	Police Officer 3	8544160	100675.81	5563.33	1531.55	107770.69	17969.07	8785.1	1779.31	41568.78	149339.47
Calendar	2019	5	Culture & Recreation	REC		790	"SEIU, Local 1021, Misc"	2700	Housekeeping & Laundry	2708	Custodian	8584511	43603.41	0	1570.17	45173.58	10158.73	8430.68	3690.02	36695.87	81869.45
Calendar	2019	1	Public Protection	POL		21	"Prof & Tech Eng, Local 21"	1900	Purchasing & Storekeeping	1942	Asst Materials Coordinator	8566953	81718.58	0	0	81718.58	15641.63	8785.12	6605.06	45438.09	127156.67
Calendar	2019	2	"Public Works, Transportation & Commerce"	MTA		790	"SEIU, Local 1021, Misc"	8200	Protection & Apprehension	8214	Parking Control Officer	8515723	54321	7177.23	4711.22	66209.45	10756.39	8785.12	5347.63	39295.42	105504.87
Calendar	2019	4	Community Health	DPH		790	"SEIU, Local 1021, Misc"	2400	"Lab, Pharmacy & Med Techs"	2454	Clinical Pharmacist	8532452	143390.12	0	539.62	143929.74	26811.09	8785.12	8251.5	58253.99	202183.73
Calendar	2019	1	Public Protection	SHF		498	Deputy Sheriffs' Assoc (DSA)	8300	Correction & Detention	8504	Deputy Sheriff (SFERS)	8556130	0	0	0	0	699.73	0	381.47	1081.2	1081.2
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	2320	Registered Nurse	8559627	124938	0	0	124938	23230.77	8799.88	8223.25	54659.8	179597.8
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	10210154	16610.4	0	138.42	16748.82	0	0	1299.98	1299.98	18048.8
Calendar	2019	1	Public Protection	FIR		798	"Firefighters,Local 798, Unit 1"	H000	Fire Services	H002	Firefighter	8548172	64728.3	13503.52	6364.88	84596.7	13176.22	10439.06	1416.9	42719.92	127316.62
Calendar	2019	2	"Public Works, Transportation & Commerce"	MTA		6	"Electrical Workers, Local 6"	7300	Journeyman Trade	7371	Electrical Transit System Mech	8516347	73302.3	23531.3	6840.78	103674.38	14566.48	8785.12	7843.92	45601.8	149276.18
Calendar	2019	3	Human Welfare & Neighborhood Development	CHF		351	"Municipal Exec Assoc, Misc"	900	Management	962	Dept Head II	8581207	169813.03	0	0	169813.03	31630.87	0	26151.03	57781.9	227594.93
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	8518808	17720.8	0	1346.92	19067.72	0	0	1341.67	1341.67	20409.39
Calendar	2019	1	Public Protection	FIR		798	"Firefighters,Local 798, Unit 1"	H000	Fire Services	H003	EMT/Paramedic/Firefighter	8552247	49078.32	0	2574.33	51652.65	14619.23	8666.98	551.55	34502.78	86155.43
Calendar	2019	6	General Administration & Finance	CON		790	"SEIU, Local 1021, Misc"	1600	"Payroll, Billing & Accounting"	1222	Sr Payroll & Personnel Clerk	8565321	65544.01	0	0	65544.01	12529.92	8785.1	5396.49	41117.83	106661.84
Calendar	2019	3	Human Welfare & Neighborhood Development	HSA		21	"Prof & Tech Eng, Local 21"	1000	Information Systems	9976	Technology Expert I	8528925	90251	0	0	90251	16841.43	7736.58	7311.26	46081.59	136332.59
Calendar	2019	2	"Public Works, Transportation & Commerce"	MTA		252	"TWU, Local 250-A, AutoServ"	7400	Skilled Labor	7410	Automotive Service Worker	8511391	52071.7	16994.95	12067.44	81134.09	12392.29	8785.12	6359.42	41943.17	123077.26
Calendar	2019	6	General Administration & Finance	ADM		351	"Municipal Exec Assoc, Misc"	900	Management	932	Manager IV	8571855	23575.88	0	0	23575.88	4389.84	5020.08	2969.45	11997.55	35573.43
Calendar	2019	1	Public Protection	FIR		798	"Firefighters,Local 798, Unit 1"	H000	Fire Services	H002	Firefighter	8584443	94248.92	27169.32	15695.22	137113.46	19294.13	10793.5	2326	50091.25	187204.71
Calendar	2019	7	General City Responsibilities	DEM		21	"Prof & Tech Eng, Local 21"	1000	Information Systems	1042	IS Engineer-Journey	8569968	108881.01	0	34671.55	143552.56	20281.54	8785.14	8278.37	51765.67	195318.23
Calendar	2019	4	Community Health	DPH		250	"SEIU, Local 1021, Misc"	2600	Dietary & Food	2604	Food Service Worker	8589365	41518.9	1916.46	0	43435.36	9932.27	8785.1	3740.14	36863.83	80299.19
Calendar	2019	1	Public Protection	POL		911	POA	Q000	Police Services	Q052	Sergeant 3	8561172	40614	13163.3	5268.07	59045.37	7421.12	8785.1	976.16	16516.42	75561.79
Calendar	2019	4	Community Health	DPH		250	"SEIU, Local 1021, Misc"	2400	"Lab, Pharmacy & Med Techs"	2430	Medical Evaluations Assistant	8559360	52686.15	3164.35	3083.06	58933.56	10849.32	8755.6	4846.43	38671.93	97605.49
Calendar	2019	4	Community Health	DPH		790	"SEIU, Local 1021, Misc"	1400	"Clerical, Secretarial & Steno"	1406	Senior Clerk	8566129	42672.01	0	720	43392.01	8292.24	8785.12	3575.78	30435.52	73827.53
Calendar	2019	3	Human Welfare & Neighborhood Development	HSA		535	"SEIU, Local 1021, Misc"	2900	Human Services	2940	Protective Services Worker	8586721	82907.03	8615.92	1040	92562.95	16047.84	8785.12	6957.81	46211.41	138774.36
Calendar	2019	6	General Administration & Finance	CPC		21	"Prof & Tech Eng, Local 21"	5200	Professional Engineering	5299	Planner 4-Environmental Review	8504801	100017.09	0	0	100017.09	18629.62	8799.9	7748.48	49469.08	149486.17
Calendar	2019	2	"Public Works, Transportation & Commerce"	MTA		253	"TWU, Local 250-A, TransitOpr"	9100	Street Transit	9163	Transit Operator	8499231	58934.22	13465.54	4709.07	77108.83	12050.39	9021.4	5981.83	41748.82	118857.65
Calendar	2019	4	Community Health	DPH		790	"SEIU, Local 1021, Misc"	1400	"Clerical, Secretarial & Steno"	1406	Senior Clerk	8596869	38039	0	376.15	38415.15	7341.17	8563.6	3169.46	28689.79	67104.94
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	8508071	6680.75	0	1119.09	7799.84	0	0	460.94	460.94	8260.78
Calendar	2019	2	"Public Works, Transportation & Commerce"	MTA		253	"TWU, Local 250-A, TransitOpr"	9100	Street Transit	9163	Transit Operator	8556898	43473.48	17880.32	3517.93	64871.73	10599.82	9257.68	4856.76	40025.34	104897.07
Calendar	2019	1	Public Protection	POL		911	POA	Q000	Police Services	Q004	Police Officer 3	8507243	99729	0	835.43	100564.43	18249.65	8785.12	0	41441.07	142005.5
Calendar	2019	3	Human Welfare & Neighborhood Development	HSA		535	"SEIU, Local 1021, Misc"	2900	Human Services	2940	Protective Services Worker	8501723	69519.03	0	0	69519.03	13289.83	8785.1	5757.16	42238.39	111757.42
Calendar	2019	1	Public Protection	POL		911	POA	Q000	Police Services	Q052	Sergeant 3	8491210	113844.01	6513.58	901.17	121258.76	20836.17	8637.48	2093.43	45399.18	166657.94
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	2320	Registered Nurse	8567060	123385.8	6375.26	3662.96	133424.02	23614.5	8622.68	6857.77	53391.09	186815.11
Calendar	2019	2	"Public Works, Transportation & Commerce"	MTA		253	"TWU, Local 250-A, TransitOpr"	9100	Street Transit	9163	Transit Operator	8591719	43853.36	7574.02	696.62	52124	9910.46	9375.82	3741.09	38076.85	90200.85
Calendar	2019	2	"Public Works, Transportation & Commerce"	DPW		21	"Prof & Tech Eng, Local 21"	5200	Professional Engineering	5261	Arch/Landscp ArchitectrII	9770144	25441.25	0	0	25441.25	4861.81	0	1999.41	6861.22	32302.47
Calendar	2019	2	"Public Works, Transportation & Commerce"	DPW		261	"Laborers, Local 261"	7500	Semi-Skilled & General Labor	7501	Environmental Service Worker	8583298	39003.4	855.03	685.18	40543.61	9214.51	8785.14	3175.12	33667.77	74211.38
Calendar	2019	1	Public Protection	DAT		790	"SEIU, Local 1021, Misc"	9900	Public Service Aide	9914	Public Service Aide-Admin	9680144	12555.95	0	0	12555.95	0	0	1012.95	1012.95	13568.9
Calendar	2019	1	Public Protection	FIR		798	"Firefighters,Local 798, Unit 1"	H000	Fire Services	H002	Firefighter	10110156	12104	0	0	12104	2253.76	5044.4	933.19	7833.11	19937.11
Calendar	2019	6	General Administration & Finance	TIS		790	"SEIU, Local 1021, Misc"	1800	"Budget, Admn & Stats Analysis"	1822	Administrative Analyst	8599710	75550.01	0	0	75550.01	14442.72	8785.1	6057.86	43706.32	119256.33
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	9500149	20947.79	80.78	2629.66	23658.23	0	0	1836.27	1836.27	25494.5
Calendar	2019	4	Community Health	DPH		790	"SEIU, Local 1021, Misc"	2500	Med Therapy & Auxiliary	2586	Health Worker 2	8528809	49812.45	2325.9	0	52138.35	9989.87	7869.62	4267.13	36386.74	88525.09
Calendar	2019	1	Public Protection	SHF		498	Deputy Sheriffs' Assoc (DSA)	8300	Correction & Detention	8304	Deputy Sheriff	8556084	83540.37	63297.22	10377.5	157215.09	28106.53	8799.9	2709.97	53906.36	211121.45
Calendar	2019	2	"Public Works, Transportation & Commerce"	AIR		236	"Carpenters, Local 22"	7300	Journeyman Trade	7344	Carpenter	8514056	74731.02	0	1960	76691.02	14660.82	8785.1	5969.56	43821.8	120512.82
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	2320	Registered Nurse	8559389	96500.93	0	6471.65	102972.58	18890.2	5684.38	8644.64	46197.5	149170.08
Calendar	2019	4	Community Health	DPH		250	"SEIU, Local 1021, Misc"	2400	"Lab, Pharmacy & Med Techs"	2430	Medical Evaluations Assistant	8587430	37982	0	1116	39098	7435.98	8799.88	3183.54	26867.92	65965.92
Calendar	2019	4	Community Health	DPH		4	SF City Workers United	7300	Journeyman Trade	7346	Painter	8509703	68800	0	1859	70659	13507.77	8785.12	5540.1	42253.63	112912.63
Calendar	2019	5	Culture & Recreation	LIB		790	"SEIU, Local 1021, Misc"	3600	Library	3632	Librarian 2	8562452	80810.23	0	1567.49	82377.72	15748.58	8785.1	6775.09	45715.11	128092.83
Calendar	2019	1	Public Protection	FIR		798	"Firefighters,Local 798, Unit 1"	H000	Fire Services	H030	"Captain, Fire Suppression"	8547970	123488.18	30319.15	20664.76	174472.09	26159.79	10439.08	3054.31	57340.92	231813.01
Calendar	2019	4	Community Health	DPH		856	"Teamsters, Local 856,MultiUnit"	2400	"Lab, Pharmacy & Med Techs"	2463	Microbiologist I/II	8589315	84326.19	0	0	84326.19	16251.59	8785.14	6693.43	41498.18	125824.37
Calendar	2019	6	General Administration & Finance	ADM		790	"SEIU, Local 1021, Misc"	9900	Public Service Aide	9922	PS Aide to Prof	8514515	33572.15	0	0	33572.15	7547.06	8534.06	2728.71	32063.55	65635.7
Calendar	2019	4	Community Health	DPH		790	"SEIU, Local 1021, Misc"	2900	Human Services	2920	Medical Social Worker	8589389	80483.1	0	480	80963.1	15477.55	8799.86	6691.68	45374.99	126338.09
Calendar	2019	2	"Public Works, Transportation & Commerce"	DPW		790	"SEIU, Local 1021, Misc"	7200	Supervisory-Labor & Trade	7227	Cement Finisher Supervisor 1	8525075	75165.06	2576.75	0	77741.81	14259.13	8785.08	5420.99	38538.26	116280.07
Calendar	2019	1	Public Protection	JUV		651	Probation Off Assoc (DPOA)	8400	Probation & Parole	8530	Deputy Probation Officer SFERS	8565111	45930	0	0	45930	8777.16	8785.14	768.1	28098.42	74028.42
Calendar	2019	3	Human Welfare & Neighborhood Development	HSA		535	"SEIU, Local 1021, Misc"	2900	Human Services	2918	HSA Social Worker	8586552	68520.06	0	480	69000.06	13190.59	8785.16	5614.6	41996.61	110996.67
Calendar	2019	6	General Administration & Finance	HSS		790	"SEIU, Local 1021, Misc"	1200	Personnel	1210	Benefits Analyst	8560341	38562.18	0	284	38846.18	7427.97	5019.42	2880.19	24130.92	62977.1
Calendar	2019	3	Human Welfare & Neighborhood Development	HSA		535	"SEIU, Local 1021, Misc"	2900	Human Services	2940	Protective Services Worker	8549144	74297.81	21309.14	4036.89	99643.84	15648.29	8785.12	8528.47	46579.04	146222.88
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	2320	Registered Nurse	8512150	104475.2	11279.57	19280.98	135035.75	23021.56	8607.88	5915.17	48305.01	183340.76
Calendar	2019	5	Culture & Recreation	LIB		790	"SEIU, Local 1021, Misc"	3600	Library	3602	Library Page	8555718	18814.96	0	39.08	18854.04	4439.79	5698.72	1495.7	16046.47	34900.51
Calendar	2019	3	Human Welfare & Neighborhood Development	HSA		535	"SEIU, Local 1021, Misc"	2900	Human Services	2918	HSA Social Worker	8556332	44146.7	0	1000	45146.7	8676.89	8785.14	3514.51	31908.58	77055.28
Calendar	2019	2	"Public Works, Transportation & Commerce"	MTA		21	"Prof & Tech Eng, Local 21"	900	Management	5212	Engineer/Architect Principal	8601967	133705.01	0	0	133705.01	24895.82	8785.12	6506.73	51115.23	184820.24
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	2320	Registered Nurse	9070157	65742.4	4086.78	6006.22	75835.4	13359.59	7618.52	6097.79	33567.12	109402.52
Calendar	2019	2	"Public Works, Transportation & Commerce"	DPW		261	"Laborers, Local 261"	7500	Semi-Skilled & General Labor	7514	General Laborer	8551366	33635.73	364.93	1959.23	35959.89	8001.75	0	2916.02	10917.77	46877.66
Calendar	2019	2	"Public Works, Transportation & Commerce"	DBI		790	"SEIU, Local 1021, Misc"	6300	Construction Inspection	6322	Permit Technician II	8497106	63947.01	0	0	63947.01	12224.58	8785.14	5057.19	40473.21	104420.22
Calendar	2019	2	"Public Works, Transportation & Commerce"	MTA		253	"TWU, Local 250-A, TransitOpr"	9100	Street Transit	9163	Transit Operator	10020149	9079.32	249.46	327.09	9655.87	2055.76	6422.32	739.08	8769.8	18425.67
Calendar	2019	2	"Public Works, Transportation & Commerce"	MTA		253	"TWU, Local 250-A, TransitOpr"	9100	Street Transit	9163	Transit Operator	8578168	0	0	211.18	211.18	0	0	814.81	814.81	1025.99
Calendar	2019	4	Community Health	DPH		250	"SEIU, Local 1021, Misc"	2300	Nursing	2302	Nursing Assistant	8559580	56685.2	63102.75	5878.8	125666.75	12714.57	8785.12	10436.54	46342.53	172009.28
Calendar	2019	2	"Public Works, Transportation & Commerce"	MTA		253	"TWU, Local 250-A, TransitOpr"	9100	Street Transit	9163	Transit Operator	8505007	59233.83	4621.65	5410.68	69264.36	12818.68	9434.86	5600.84	43404.3	112668.66
Calendar	2019	2	"Public Works, Transportation & Commerce"	DPW		21	"Prof & Tech Eng, Local 21"	6300	Construction Inspection	6318	Construction Inspector	8511929	69911.32	4814.19	0	74725.51	13361.87	8785.14	6060.82	37903.33	112628.84
Calendar	2019	4	Community Health	DPH		250	"SEIU, Local 1021, Misc"	2300	Nursing	2302	Nursing Assistant	8596905	60632	4340.74	4457.57	69430.31	12443.07	8785.12	5711.68	41346.19	110776.5
Calendar	2019	6	General Administration & Finance	TTX		21	"Prof & Tech Eng, Local 21"	1000	Information Systems	1093	IT Operations Support Admn III	8544043	74364.44	0	0	74364.44	14215.98	8799.9	6391.57	43813.29	118177.73
